Date, MaxTemperature, MinTemperature, AvgTemperature, AtObsTemperature, Precipitation, Snowfall, SnowDepth
2000-10-11, 64, 52, 58.0, 63, 0.15, 0.0, 0
2000-10-12, 70, 51, 60.5, 62, 0.00, 0.0, 0
2000-10-13, 79, 47, 63.0, 76, 0.00, 0.0, 0
2000-10-14, 85, 47, 66.0, M, 0.00, 0.0, 0
2000-10-15, 83, 48, 65.5, 78, 0.00, 0.0, 0
2000-10-16, 90, 50, 70.0, 82, 0.00, 0.0, 0
2000-10-17, 93, 53, 73.0, M, 0.00, 0.0, 0
2000-10-18, 76, 59, 67.5, 68, 0.00, 0.0, 0
2000-10-19, 82, 60, 71.0, 80, 0.00, 0.0, 0
2000-10-20, 84, 55, 69.5, 72, 0.00, 0.0, 0
2000-10-21, 71, 60, 65.5, 67, 0.00, 0.0, 0
2000-10-22, 77, 54, 65.5, 72, 0.00, 0.0, 0
2000-10-23, 75, 56, 65.5, M, 0.00, 0.0, 0
2000-10-24, 77, 56, 66.5, 71, 0.00, 0.0, 0
2000-10-25, 79, 54, 66.5, 73, 0.00, 0.0, 0
2000-10-26, 73, 54, 63.5, 64, 0.00, 0.0, 0
2000-10-27, 64, 54, 59.0, 62, 0.10, 0.0, 0
2000-10-28, 70, 53, 61.5, 59, 0.00, 0.0, 0
2000-10-29, 67, 53, 60.0, 55, 0.08, 0.0, 0
2000-10-30, 68, 48, 58.0, 53, 0.00, 0.0, 0
2000-10-31, 70, 45, 57.5, 62, 0.00, 0.0, 0
2000-11-01, M, M, M, M, 0.00, 0.0, 0
2000-11-02, 78, 43, 60.5, 71, 0.00, 0.0, 0
2000-11-03, 75, 40, 57.5, 69, 0.00, 0.0, 0
2000-11-04, 80, 48, 64.0, 68, 0.00, 0.0, 0
2000-11-05, 68, 43, 55.5, 64, 0.00, 0.0, 0
2000-11-06, M, M, M, M, 0.00, 0.0, 0
2000-11-07, 69, 49, 59.0, 64, 0.00, 0.0, 0
2000-11-08, 72, 41, 56.5, 52, 0.00, 0.0, 0
2000-11-09, 67, 43, 55.0, 60, 0.00, 0.0, 0
2000-11-10, 64, 44, 54.0, 54, 0.00, 0.0, 0
2000-11-11, 62, 43, 52.5, 58, 0.05, 0.0, 0
2000-11-12, 66, 37, 51.5, 54, 0.00, 0.0, 0
2000-11-13, 68, 34, 51.0, 59, 0.00, 0.0, 0
2000-11-14, 67, 35, 51.0, 60, 0.00, 0.0, 0
2000-11-15, 68, 34, 51.0, 57, 0.00, 0.0, 0
2000-11-16, 64, 36, 50.0, 52, 0.00, 0.0, 0
2000-11-17, 65, 40, 52.5, 59, 0.00, 0.0, 0
2000-11-18, 73, 40, 56.5, 64, 0.00, 0.0, 0
2000-11-19, 83, 36, 59.5, 62, 0.00, 0.0, 0
2000-11-20, 82, 41, 61.5, 71, 0.00, 0.0, 0
2000-11-21, 82, 49, 65.5, 69, 0.00, 0.0, 0
2000-11-22, 82, 43, 62.5, 54, 0.00, 0.0, 0
2000-11-23, 67, 40, 53.5, 55, 0.00, 0.0, 0
2000-11-24, 73, 42, 57.5, 65, 0.00, 0.0, 0
2000-11-25, 83, 41, 62.0, 69, 0.00, 0.0, 0
2000-11-26, 81, 42, 61.5, 67, 0.00, 0.0, 0
2000-11-27, 79, 44, 61.5, 67, 0.00, 0.0, 0
2000-11-28, 82, 44, 63.0, 69, 0.00, 0.0, 0
2000-11-29, 73, 43, 58.0, 65, 0.00, 0.0, 0
2000-11-30, 73, 43, 58.0, 63, 0.00, 0.0, 0
2000-12-01, 73, 43, 58.0, 62, 0.00, 0.0, 0
2000-12-02, 77, 43, 60.0, 60, 0.00, 0.0, 0
2000-12-03, 82, 41, 61.5, 66, 0.00, 0.0, 0
2000-12-04, 80, 45, 62.5, 71, 0.00, 0.0, 0
2000-12-05, 84, 54, 69.0, 70, 0.00, 0.0, 0
2000-12-06, 73, 49, 61.0, 65, 0.00, 0.0, 0
2000-12-07, 74, 52, 63.0, 68, 0.00, 0.0, 0
2000-12-08, 68, 51, 59.5, 63, 0.00, 0.0, 0
2000-12-09, 67, 54, 60.5, 62, 0.00, 0.0, 0
2000-12-10, 65, 55, 60.0, 60, 0.00, 0.0, 0
2000-12-11, 64, 43, 53.5, 57, 0.00, 0.0, 0
2000-12-12, 62, 38, 50.0, M, T, 0.0, 0
2000-12-13, 63, 37, 50.0, 57, 0.00, 0.0, 0
2000-12-14, 62, 44, 53.0, 55, 0.00, 0.0, 0
2000-12-15, 64, 45, 54.5, 57, 0.00, 0.0, 0
2000-12-16, 79, 47, 63.0, M, 0.00, 0.0, 0
2000-12-17, 83, 41, 62.0, 70, 0.00, 0.0, 0
2000-12-18, 75, 51, 63.0, 65, 0.00, 0.0, 0
2000-12-19, 79, 52, 65.5, 67, 0.00, 0.0, 0
2000-12-20, 77, 39, 58.0, 65, 0.00, 0.0, 0
2000-12-21, 76, 40, 58.0, 63, 0.00, 0.0, 0
2000-12-22, 73, 38, 55.5, 62, 0.00, 0.0, 0
2000-12-23, 72, 38, 55.0, 54, 0.00, 0.0, 0
2000-12-24, 72, 39, 55.5, 60, 0.00, 0.0, 0
2000-12-25, 68, 43, 55.5, 61, 0.00, 0.0, 0
2000-12-26, 73, 56, 64.5, 65, 0.00, 0.0, 0
2000-12-27, 76, 38, 57.0, 62, 0.00, 0.0, 0
2000-12-28, 83, 38, 60.5, 64, 0.00, 0.0, 0
2000-12-29, 85, 39, 62.0, 73, 0.00, 0.0, 0
2000-12-30, 80, 40, 60.0, 66, 0.00, 0.0, 0
2000-12-31, 80, 38, 59.0, 64, 0.00, 0.0, 0
2001-01-01, M, M, M, M, M, M, M
2001-01-02, M, M, M, M, M, M, M
2001-01-03, M, M, M, M, M, M, M
2001-01-04, M, M, M, M, M, M, M
2001-01-05, M, M, M, M, M, M, M
2001-01-06, M, M, M, M, M, M, M
2001-01-07, M, M, M, M, M, M, M
2001-01-08, M, M, M, M, M, M, M
2001-01-09, M, M, M, M, M, M, M
2001-01-10, M, M, M, M, M, M, M
2001-01-11, M, M, M, M, M, M, M
2001-01-12, M, M, M, M, M, M, M
2001-01-13, M, M, M, M, M, M, M
2001-01-14, M, M, M, M, M, M, M
2001-01-15, M, M, M, M, M, M, M
2001-01-16, M, M, M, M, M, M, M
2001-01-17, M, M, M, M, M, M, M
2001-01-18, M, M, M, M, M, M, M
2001-01-19, M, M, M, M, M, M, M
2001-01-20, M, M, M, M, M, M, M
2001-01-21, M, M, M, M, M, M, M
2001-01-22, M, M, M, M, M, M, M
2001-01-23, M, M, M, M, M, M, M
2001-01-24, M, M, M, M, M, M, M
2001-01-25, M, M, M, M, M, M, M
2001-01-26, M, M, M, M, M, M, M
2001-01-27, M, M, M, M, M, M, M
2001-01-28, M, M, M, M, M, M, M
2001-01-29, M, M, M, M, M, M, M
2001-01-30, M, M, M, M, M, M, M
2001-01-31, M, M, M, M, M, M, M
2001-02-01, 73, M, M, M, 0.00, 0.0, M
2001-02-02, 77, M, M, M, 0.00, 0.0, 0
2001-02-03, 86, M, M, 80, 0.00, 0.0, 0
2001-02-04, 87, 53, 70.0, 82, 0.00, 0.0, 0
2001-02-05, 85, 50, 67.5, 74, 0.00, 0.0, 0
2001-02-06, 85, 48, 66.5, 58, 0.00, 0.0, 0
2001-02-07, 58, 42, 50.0, 50, 0.00, 0.0, 0
2001-02-08, 60, 36, 48.0, 54, 0.00, 0.0, 0
2001-02-09, 60, 36, 48.0, 54, 0.00, 0.0, 0
2001-02-10, 54, 41, 47.5, 49, 0.10, 0.0, 0
2001-02-11, 58, 39, 48.5, 54, 0.03, 0.0, 0
2001-02-12, 55, 46, 50.5, 49, 0.41, 0.0, 0
2001-02-13, 53, 45, 49.0, 46, 0.87, 0.0, 0
2001-02-14, 58, 38, 48.0, 55, T, 0.0, 0
2001-02-15, 62, 36, 49.0, 58, 0.00, 0.0, 0
2001-02-16, M, M, M, M, 0.00, 0.0, 0
2001-02-17, 68, 39, 53.5, 54, 0.00, 0.0, 0
2001-02-18, 62, 46, 54.0, 58, 0.03, 0.0, 0
2001-02-19, M, M, M, M, 0.00, 0.0, 0
2001-02-20, 65, 45, 55.0, M, 0.00, 0.0, 0
2001-02-21, 68, 44, 56.0, 65, 0.00, 0.0, 0
2001-02-22, 65, 46, 55.5, 58, 0.00, 0.0, 0
